epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28213.8,1.07002,0.54728,0.89468,0.95795,0.94146,0.96128,0.67288,0.97636,0.51029,0.87902,0.0011882,0.0011882,0.0011882
43,28922.3,1.07374,0.54239,0.88961,0.94918,0.93809,0.96156,0.65604,1.01353,0.53498,0.88127,0.0011684,0.0011684,0.0011684
44,29575.4,1.07966,0.54644,0.89444,0.96135,0.93937,0.9597,0.65459,1.04241,0.51862,0.88237,0.0011486,0.0011486,0.0011486
45,30253.1,1.0704,0.54087,0.89339,0.96087,0.93975,0.96303,0.6695,0.98299,0.5146,0.88268,0.0011288,0.0011288,0.0011288
46,30985.8,1.06177,0.53124,0.88488,0.9606,0.94372,0.96215,0.6749,0.97613,0.5038,0.87467,0.001109,0.001109,0.001109
47,31699.2,1.05169,0.52661,0.88557,0.95869,0.94173,0.96251,0.6719,0.96826,0.50618,0.87535,0.0010892,0.0010892,0.0010892
48,32456.1,1.06032,0.53725,0.8895,0.95768,0.94253,0.96213,0.67219,0.97382,0.50834,0.87891,0.0010694,0.0010694,0.0010694
49,33213.6,1.05588,0.5349,0.88891,0.95983,0.93642,0.95688,0.66502,1.00395,0.51302,0.88526,0.0010496,0.0010496,0.0010496
50,33896.3,1.04689,0.52903,0.88445,0.95806,0.9452,0.96338,0.68064,0.96763,0.50134,0.87367,0.0010298,0.0010298,0.0010298
51,34746.6,1.03023,0.51928,0.8851,0.95654,0.94146,0.9587,0.67582,0.97796,0.50133,0.8778,0.00101,0.00101,0.00101
52,35470.6,1.04943,0.52337,0.88308,0.95655,0.94515,0.96042,0.66846,0.97632,0.50013,0.87942,0.0009902,0.0009902,0.0009902
53,35757.8,1.04159,0.5216,0.8816,0.9595,0.94386,0.96275,0.67317,0.9762,0.49927,0.87373,0.0009704,0.0009704,0.0009704
54,36015.6,1.06978,0.52537,0.89031,0.95833,0.94065,0.95642,0.65744,1.04341,0.50554,0.88098,0.0009506,0.0009506,0.0009506
55,36272.2,1.10678,0.53839,0.89738,0.96021,0.94066,0.95911,0.65597,1.02148,0.51192,0.89248,0.0009308,0.0009308,0.0009308
56,36532.5,1.06552,0.53072,0.89688,0.96067,0.93899,0.96202,0.65408,1.01096,0.51262,0.88274,0.000911,0.000911,0.000911
57,36790.3,1.06504,0.5269,0.88514,0.95832,0.94278,0.9606,0.67031,0.99343,0.50381,0.87619,0.0008912,0.0008912,0.0008912
58,37047.6,1.03742,0.51561,0.88011,0.95833,0.94671,0.96381,0.6766,0.96884,0.49741,0.87602,0.0008714,0.0008714,0.0008714
59,37300.4,1.02493,0.51378,0.88214,0.9647,0.94183,0.96258,0.66604,0.96982,0.49698,0.87568,0.0008516,0.0008516,0.0008516
60,37549.9,1.04032,0.52075,0.88155,0.95821,0.9421,0.9607,0.67167,0.97864,0.5014,0.87195,0.0008318,0.0008318,0.0008318
61,37801.8,1.02146,0.51219,0.87908,0.96277,0.9421,0.96253,0.67636,0.96321,0.49406,0.87408,0.000812,0.000812,0.000812
62,38061.8,1.0243,0.5106,0.8844,0.96136,0.94135,0.96377,0.66676,0.99824,0.50122,0.87397,0.0007922,0.0007922,0.0007922
63,38345.1,1.04609,0.51694,0.88099,0.96288,0.94444,0.96353,0.68138,0.95829,0.4874,0.8741,0.0007724,0.0007724,0.0007724
64,38625.6,1.00762,0.50733,0.87404,0.9618,0.94642,0.96424,0.68281,0.93942,0.48958,0.87095,0.0007526,0.0007526,0.0007526
65,38901.3,1.01445,0.50304,0.88039,0.96349,0.93973,0.96198,0.66582,1.01365,0.50021,0.88064,0.0007328,0.0007328,0.0007328
66,39211.7,1.02692,0.50873,0.88092,0.96186,0.94418,0.96297,0.68443,0.9514,0.48395,0.87283,0.000713,0.000713,0.000713
67,39543.6,1.01709,0.50541,0.8754,0.96369,0.94797,0.96475,0.69549,0.92687,0.47447,0.86622,0.0006932,0.0006932,0.0006932
